PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener07-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -10.19  0.16     12.08  1.95       -7
run-listener07-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -8.76   0.20     10.33  1.95       -5
run-listener07-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -9.13   0.27     7.67   2.07       -2
run-listener07-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -8.60   0.28     7.17   2.00       -4
run-listener07-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -4.86   0.17     11.58  1.99       0
run-listener07-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -28.82  0.18     10.92  1.97       -26
run-listener07-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -29.46  0.16     12.67  1.90       -29
run-listener07-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -15.02  0.18     11.00  1.98       -14
run-listener08-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -5.13   0.23     8.75   1.99       -1
run-listener08-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -7.76   0.20     10.33  2.05       -3
run-listener08-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -7.68   0.21     9.92   2.02       -4
run-listener08-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -8.00   0.44     4.67   2.03       0
run-listener08-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -8.92   0.50     4.08   2.04       -3
run-listener08-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -7.32   0.55     3.67   2.00       -2
run-listener08-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -35.85  0.31     6.67   2.02       -32
run-listener08-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -38.13  0.24     8.92   2.02       -36
run-listener08-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -32.01  0.17     11.42  1.98       -29
run-listener08-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -12.76  0.22     9.08   1.96       -9
run-listener08-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -15.51  0.19     10.50  1.95       -12
run-listener08-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -15.44  0.19     10.75  1.99       -12
run-listener08-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -13.43  0.35     5.83   2.06       -4
run-listener08-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -15.34  0.32     6.33   1.99       -8
run-listener08-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -14.15  0.26     7.67   2.00       -6
run-listener08-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -29.89  0.18     10.92  2.00       -27
run-listener08-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -33.23  0.20     9.58   1.95       -30
run-listener08-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -31.55  0.25     7.83   1.97       -29
run-listener08-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -5.68   0.19     10.92  1.98       -2
run-listener08-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -8.12   0.18     11.00  1.93       -6
run-listener08-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -8.05   0.25     8.25   2.03       -5
run-listener08-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -7.35   0.35     5.75   2.03       -3
run-listener08-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -7.61   0.49     4.08   2.01       -1
run-listener08-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -6.03   0.33     6.08   1.99       0
run-listener08-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -33.10  0.25     8.00   2.00       -33
run-listener08-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -33.79  0.13     14.33  1.92       -33
run-listener08-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -31.22  0.15     13.17  1.98       -30
run-listener08-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -4.00   0.19     10.00  1.95       -1
run-listener08-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -5.17   0.21     9.67   1.98       -3
run-listener08-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -4.55   0.25     8.17   2.04       0
run-listener08-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -1.54   0.37     5.58   2.04       1
run-listener08-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -1.05   0.29     7.00   2.00       3
run-listener08-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -0.61   0.42     4.92   2.06       2
run-listener08-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -15.87  0.23     8.83   2.03       -15
run-listener08-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -16.64  0.14     14.08  1.95       -16
run-listener08-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -12.04  0.18     11.67  1.92       -12
run-listener09-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -6.95   0.19     10.50  2.00       -4
run-listener09-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -12.24  0.21     9.75   2.00       -10
run-listener09-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -12.03  0.19     10.50  2.02       -9
run-listener09-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -9.91   0.27     7.67   1.99       -2
run-listener09-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -13.93  0.29     6.83   2.01       -7
run-listener09-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -13.46  0.42     4.92   2.05       -4
run-listener09-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -41.08  0.24     8.58   2.02       -37
run-listener09-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -45.10  0.15     13.33  1.97       -42
run-listener09-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -43.29  0.16     12.75  2.01       -40
run-listener09-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -14.23  0.17     11.08  1.90       -10
run-listener09-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -19.90  0.21     9.58   2.02       -17
run-listener09-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -20.12  0.23     9.08   2.05       -17
run-listener09-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -16.39  0.22     8.92   1.93       -12
run-listener09-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -18.85  0.26     8.08   2.08       -12
run-listener09-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -19.01  0.35     5.75   2.03       -14
run-listener09-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -32.83  0.20     10.00  1.99       -30
run-listener09-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -37.68  0.18     11.25  2.00       -35
run-listener09-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -36.37  0.16     13.17  1.98       -34
run-listener09-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -8.45   0.23     8.42   1.95       -5
run-listener09-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -13.11  0.21     9.33   1.99       -10
run-listener09-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -12.85  0.21     10.17  1.98       -9
run-listener09-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -11.19  0.27     7.42   2.02       -2
run-listener09-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -13.32  0.23     8.75   2.00       -5
run-listener09-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -13.62  0.25     8.00   2.00       -5
run-listener09-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -43.10  0.19     10.17  1.98       -40
run-listener09-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -45.54  0.25     8.25   2.02       -44
run-listener09-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -44.32  0.15     12.75  1.95       -43
run-listener09-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -8.73   0.22     9.17   1.99       -4
run-listener09-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -14.15  0.16     12.50  1.95       -10
run-listener09-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -13.05  0.17     11.58  2.01       -10
run-listener09-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -13.11  0.45     4.50   2.02       -6
run-listener09-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -13.70  0.30     6.92   2.05       -9
run-listener09-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -10.71  0.29     6.92   1.99       -5
run-listener09-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -39.72  0.13     15.00  1.97       -37
run-listener09-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -39.71  0.11     16.92  1.80       -38
run-listener09-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -32.64  0.14     13.33  1.88       -31
run-listener10-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -8.91   0.23     9.17   2.08       -6
run-listener10-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -13.39  0.20     10.17  1.98       -10
run-listener10-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -13.42  0.19     10.42  1.97       -10
run-listener10-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -12.77  0.33     6.08   2.02       -8
run-listener10-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -16.68  0.37     5.67   2.10       -4
run-listener10-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -16.57  0.46     4.67   2.10       -5
run-listener10-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -41.57  0.19     10.50  1.95       -40
run-listener10-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -42.66  0.13     15.33  1.91       -40
run-listener10-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -39.87  0.15     13.08  2.00       -37
run-listener10-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -17.10  0.20     10.00  2.03       -14
run-listener10-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -20.75  0.19     10.83  1.95       -15
run-listener10-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -20.89  0.18     10.92  1.97       -18
run-listener10-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -17.81  0.23     8.67   1.96       -10
run-listener10-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -21.45  0.25     7.92   2.02       -10
run-listener10-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -20.71  0.27     7.50   2.00       -13
run-listener10-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -34.33  0.18     10.75  1.96       -29
run-listener10-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -38.32  0.31     6.58   2.04       -35
run-listener10-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -38.06  0.19     10.58  2.00       -35
run-listener10-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -9.09   0.15     13.00  2.00       -6
run-listener10-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -13.50  0.20     10.08  2.00       -11
run-listener10-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -13.55  0.23     8.58   2.00       -10
run-listener10-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -12.86  0.36     5.75   2.03       -5
run-listener10-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -14.37  0.30     6.75   2.01       -6
run-listener10-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -13.91  0.38     5.33   1.98       -6
run-listener10-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -34.67  0.12     16.58  1.94       -34
run-listener10-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -34.56  0.11     18.00  1.87       -34
run-listener10-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -32.32  0.11     17.67  1.86       -32
run-listener10-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -9.74   0.15     12.75  1.93       -6
run-listener10-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -13.92  0.20     9.75   1.98       -11
run-listener10-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -13.85  0.19     10.33  2.00       -11
run-listener10-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -14.82  0.73     2.75   2.05       -3
run-listener10-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -18.05  0.42     4.92   2.06       -7
run-listener10-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -18.25  0.39     5.25   2.01       -8
run-listener10-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -46.12  0.14     13.75  1.92       -43
run-listener10-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -47.22  0.17     12.00  2.01       -46
run-listener10-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -42.64  0.16     13.42  2.01       -41
run-listener12-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -2.17   0.19     10.58  2.01       1
run-listener12-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -6.98   0.25     8.42   2.02       -5
run-listener12-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -4.55   0.19     10.33  1.96       -1
run-listener12-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -3.27   0.27     7.42   2.00       3
run-listener12-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -5.41   0.22     9.33   2.02       5
run-listener12-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -3.09   0.28     7.17   1.99       4
run-listener12-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -29.64  0.47     4.17   1.96       -28
run-listener12-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -31.03  0.36     5.75   1.98       -31
run-listener12-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -22.90  0.30     6.50   1.97       -22
run-listener12-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -10.73  0.27     7.50   1.96       -7
run-listener12-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -15.68  0.32     6.33   2.02       -14
run-listener12-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -13.06  0.25     8.08   1.96       -11
run-listener12-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -9.49   0.35     5.83   2.02       -3
run-listener12-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -13.40  0.29     6.75   2.00       -5
run-listener12-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -11.38  0.36     5.67   2.04       -4
run-listener12-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -26.92  0.30     6.58   1.96       -21
run-listener12-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -32.30  0.32     6.17   1.97       -29
run-listener12-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -25.32  0.42     4.92   2.07       -24
run-listener12-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -7.64   0.20     9.83   1.99       -4
run-listener12-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -9.70   0.14     14.25  1.97       -7
run-listener12-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -6.95   0.16     13.08  1.94       -5
run-listener12-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -5.97   0.22     9.83   2.02       0
run-listener12-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -6.31   0.20     10.17  1.97       -1
run-listener12-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -3.64   0.23     9.08   2.04       -1
run-listener12-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -16.67  0.21     9.42   2.00       -14
run-listener12-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -16.93  0.28     7.33   2.04       -16
run-listener12-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -10.84  0.21     9.33   1.99       -10
run-listener12-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      6.05    0.30     6.67   2.02       9
run-listener12-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      7.08    0.24     8.50   2.00       8
run-listener12-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      14.14   0.17     11.50  1.93       16
run-listener12-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  7.21    0.23     9.50   2.08       11
run-listener12-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  7.45    0.17     12.17  1.99       10
run-listener12-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  14.09   0.17     11.67  1.87       16
run-listener12-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      6.42    0.23     8.67   2.00       10
run-listener12-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      7.02    0.21     9.50   1.98       8
run-listener12-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      14.41   0.19     10.42  2.02       15
run-listener14-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -6.88   0.19     11.08  1.96       -3
run-listener14-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -8.26   0.20     9.75   1.97       -5
run-listener14-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -7.94   0.20     10.08  2.03       -5
run-listener14-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -6.78   0.49     4.25   2.08       -2
run-listener14-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -6.28   0.39     5.42   2.10       0
run-listener14-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -3.54   0.25     8.00   2.00       1
run-listener14-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -26.74  0.14     14.00  1.92       -24
run-listener14-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -26.88  0.17     12.25  1.96       -25
run-listener14-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -23.18  0.20     10.00  1.99       -23
run-listener14-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -14.48  0.23     8.92   2.01       -13
run-listener14-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -15.61  0.22     9.08   2.01       -13
run-listener14-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -13.23  0.14     13.83  1.95       -10
run-listener14-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -12.35  0.23     8.67   2.01       -8
run-listener14-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -11.40  0.29     6.92   2.01       -6
run-listener14-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -8.01   0.23     8.92   2.06       -3
run-listener14-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -26.91  0.23     8.92   2.03       -25
run-listener14-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -27.53  0.18     11.33  1.99       -25
run-listener14-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -23.51  0.23     8.83   1.99       -22
run-listener14-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -6.66   0.17     12.17  1.97       -3
run-listener14-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -8.58   0.21     9.83   2.00       -5
run-listener14-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -7.97   0.21     9.42   2.02       -5
run-listener14-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -7.49   0.31     6.42   2.00       -1
run-listener14-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -7.31   0.50     4.08   2.05       0
run-listener14-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -4.03   0.37     5.75   2.03       2
run-listener14-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -33.65  0.20     10.50  2.04       -33
run-listener14-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -33.30  0.12     16.33  1.94       -32
run-listener14-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -31.28  0.14     14.83  1.98       -30
run-listener14-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -3.89   0.21     9.58   1.98       1
run-listener14-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -4.50   0.30     6.67   2.00       -1
run-listener14-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -4.78   0.34     6.00   2.04       -2
run-listener14-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -1.58   0.26     8.25   2.07       4
run-listener14-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -0.41   0.27     7.58   2.05       5
run-listener14-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -1.30   0.33     6.17   2.03       2
run-listener14-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -16.65  0.18     11.00  1.95       -16
run-listener14-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -16.31  0.15     13.92  2.03       -15
run-listener14-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -11.40  0.16     11.92  1.94       -10
run-listener15-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -3.26   0.22     9.58   2.02       1
run-listener15-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -9.02   0.19     10.67  1.97       -6
run-listener15-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -8.09   0.22     9.17   1.95       -6
run-listener15-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -5.25   0.37     5.42   2.03       -1
run-listener15-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -7.70   0.26     7.83   2.03       -2
run-listener15-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -5.79   0.45     4.67   2.04       -2
run-listener15-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -33.00  0.32     6.42   2.02       -29
run-listener15-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -34.38  0.19     10.50  1.98       -31
run-listener15-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -29.90  0.18     11.25  2.01       -27
run-listener15-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -11.84  0.22     9.33   1.99       -8
run-listener15-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -17.30  0.18     11.25  2.04       -14
run-listener15-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -15.47  0.18     10.92  1.98       -11
run-listener15-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -10.82  0.34     5.92   2.04       -6
run-listener15-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -14.20  0.25     8.17   2.03       -7
run-listener15-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -11.68  0.35     5.67   2.00       -8
run-listener15-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -28.31  0.20     9.83   1.95       -24
run-listener15-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -32.95  0.18     11.42  2.01       -30
run-listener15-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -28.48  0.30     6.67   1.98       -27
run-listener15-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -3.90   0.19     10.42  2.00       1
run-listener15-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -9.35   0.24     8.75   2.07       -6
run-listener15-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -8.33   0.18     11.08  1.92       -4
run-listener15-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -6.08   0.27     7.42   1.98       -3
run-listener15-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -8.95   0.27     7.33   1.99       -2
run-listener15-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -7.39   0.40     5.17   2.07       -1
run-listener15-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -32.88  0.24     8.33   1.99       -31
run-listener15-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -33.61  0.12     16.25  1.87       -33
run-listener15-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -33.23  0.15     13.33  1.92       -33
run-listener15-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -3.07   0.24     8.58   2.06       2
run-listener15-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -8.94   0.20     10.08  2.00       -6
run-listener15-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -6.17   0.20     10.08  1.96       -4
run-listener15-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -4.93   0.29     6.83   1.99       1
