PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener02-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -6.65   0.37     5.42   2.01       -4
run-listener02-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  0.93    0.30     6.83   2.06       4
run-listener02-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -14.47  0.21     9.58   1.98       -12
run-listener02-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -13.70  0.30     6.67   2.00       -13
run-listener02-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -2.61   0.33     6.33   2.06       0
run-listener02-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -6.23   0.16     12.50  1.98       -3
run-listener02-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -5.51   0.21     9.17   1.96       -4
run-listener02-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -4.09   0.19     10.58  1.95       -2
run-listener02-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -2.19   0.12     15.42  1.91       3
run-listener02-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -1.37   0.19     10.08  1.95       2
run-listener02-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -0.34   0.17     12.42  2.03       4
run-listener02-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -8.28   0.16     12.67  1.94       -7
run-listener02-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -7.80   0.14     13.58  1.91       -7
run-listener02-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -4.05   0.13     14.50  1.94       -3
run-listener02-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      14.69   0.22     9.17   1.99       16
run-listener02-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      15.86   0.15     13.25  1.99       17
run-listener02-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      16.92   0.17     11.58  1.97       18
run-listener02-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  14.93   0.15     12.67  1.95       16
run-listener02-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  15.62   0.17     11.75  2.02       17
run-listener02-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  17.32   0.16     12.67  2.02       19
run-listener02-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      14.80   0.16     12.75  2.01       16
run-listener02-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      15.55   0.09     20.00  1.78       18
run-listener02-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      16.82   0.17     12.08  1.93       17
run-listener03-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -10.50  0.25     8.00   1.97       -8
run-listener03-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -12.81  0.19     10.58  1.93       -9
run-listener03-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -13.12  0.22     8.92   1.99       -10
run-listener03-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -13.50  0.32     6.33   1.99       -7
run-listener03-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -15.00  0.24     8.17   1.96       -6
run-listener03-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -15.15  0.32     6.25   1.99       -8
run-listener03-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -45.22  0.16     12.25  1.91       -41
run-listener03-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -45.77  0.19     10.75  1.93       -42
run-listener03-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -45.25  0.21     9.58   2.04       -42
run-listener03-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -17.82  0.24     8.58   2.05       -15
run-listener03-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -20.33  0.24     8.17   1.95       -17
run-listener03-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -20.13  0.23     9.00   2.04       -16
run-listener03-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -18.80  0.28     7.33   2.00       -11
run-listener03-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -20.26  0.19     10.83  1.99       -10
run-listener03-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -20.37  0.25     7.67   1.98       -12
run-listener03-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -36.08  0.23     8.50   1.98       -33
run-listener03-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -37.80  0.19     10.75  1.99       -34
run-listener03-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -37.92  0.16     12.00  1.95       -35
run-listener03-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -11.07  0.18     10.75  1.99       -6
run-listener03-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -13.39  0.22     9.00   1.96       -11
run-listener03-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -13.38  0.18     10.75  1.95       -10
run-listener03-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -13.43  0.28     7.25   2.02       -4
run-listener03-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -14.95  0.28     7.08   1.98       -5
run-listener03-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -14.79  0.38     5.25   1.99       -6
run-listener03-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -45.49  0.21     9.83   2.00       -43
run-listener03-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -46.05  0.21     10.00  1.98       -44
run-listener03-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -46.20  0.19     10.42  2.00       -43
run-listener03-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -11.74  0.17     11.67  1.99       -7
run-listener03-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -13.84  0.13     15.25  1.91       -9
run-listener03-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -14.08  0.25     8.25   2.02       -12
run-listener03-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -16.30  0.45     4.50   2.02       -7
run-listener03-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -18.74  0.38     5.17   1.97       -5
run-listener03-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -18.57  0.30     6.75   2.00       -6
run-listener03-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -47.34  0.16     12.83  1.98       -46
run-listener03-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -46.60  0.14     13.92  1.93       -46
